Species,zone_n,zone_s,zone_g
Abarema_acreana,NA,tropical,tropical
Abarema_adenophora,tropical,tropical,tropical
Abarema_auriculata,tropical,tropical,tropical
Abarema_barbouriana,tropical,tropical,tropical
Abarema_brachystachya,tropical,else,else
Abarema_callejasii,tropical,NA,tropical
Abarema_campestris,tropical,tropical,tropical
Abarema_cochleata,tropical,tropical,tropical
Abarema_cochliocarpos,NA,else,else
Abarema_curvicarpa,tropical,tropical,tropical
Abarema_ferruginea,tropical,tropical,tropical
Abarema_filamentosa,NA,else,else
Abarema_floribunda,tropical,tropical,tropical
Abarema_ganymedea,tropical,tropical,tropical
Abarema_glauca,else,NA,else
Abarema_idiopoda,else,tropical,else
Abarema_jupunba,tropical,tropical,tropical
Abarema_killipii,tropical,tropical,tropical
Abarema_laeta,tropical,tropical,tropical
Abarema_langsdorffii,NA,else,else
Abarema_lehmannii,tropical,else,tropical
Abarema_leucophylla,tropical,tropical,tropical
Abarema_limae,NA,else,else
Abarema_longipedunculata,tropical,tropical,tropical
Abarema_macradenia,tropical,tropical,tropical
Abarema_mataybifolia,tropical,tropical,tropical
Abarema_microcalyx,tropical,tropical,tropical
Abarema_obovalis,else,NA,else
Abarema_oppositifolia,else,NA,else
Abarema_piresii,tropical,tropical,tropical
Abarema_racemiflora,tropical,tropical,tropical
Abarema_turbinata,NA,else,else
Abarema_villosa,NA,else,else
Abarema_zolleriana,else,NA,else
Abatia_mexicana,else,NA,else
Abatia_parviflora,tropical,tropical,tropical
Abies_alba,else,else,else
Abies_amabilis,else,else,else
Abies_balsamea,else,NA,else
Abies_bracteata,else,else,else
Abies_cephalonica,else,else,else
Abies_chensiensis,else,NA,else
Abies_cilicica,else,NA,else
Abies_concolor,else,else,else
Abies_delavayi,else,NA,else
Abies_densa,else,NA,else
Abies_durangensis,else,NA,else
Abies_fabri,else,else,else
Abies_fargesii,else,else,else
Abies_firma,else,else,else
Abies_forrestii,else,NA,else
Abies_fraseri,else,NA,else
Abies_grandis,else,else,else
Abies_guatemalensis,else,NA,else
Abies_hickelii,else,NA,else
